#sample	CD24	NBR2	CACNG3	CENPE	CENPF	FUT9	IQGAP2	TMSB15A	FAM107A	SLC38A10	SEZ6	MITD1	TMEM155	CSRP2	NKAIN2	ACSBG1	MLC1	SATB2	GABRA1	GFAP	GJA1	GLI3	TNC	APOE	KCNK1	TM4SF1	MGST1	NELL2	NUSAP1	GULP1	BACH2	RYR3	NEUROD6	MRPS5	SLA	SSRP1	TFAP2C	TOP2A	VCAM1	VIM	LRRC2	SH3TC2	FAT4	VASH2	CSRNP3	MROH9	EOMES	ADGRV1	ENC1	IFITM1
5:neurons:SRR1974646	0.112789	0	0.973421	0	0	0.385571	0	0	0	0	0	0	0	0	0.682430	0	0	0	0.690801	0	0.385571	0.119348	0	0	0.385571	0	0	0	0	0.255868	0.837936	0.125906	0	0.526752	0	0	0	0	0	0.385571	0	0.579479	0	0	0.447618	0	0	0	0.239299	0
5:neurons:SRR1974649	0.056268	0	0.816818	0	0	0.194175	0	0	0.592998	0	0.503907	0.410389	0	0.451443	0	0	0	0	0.988746	0	0	0	0	0	0.302126	0	0.053142	0.883401	0	0	0	0	0	0.365635	0	0	0	0	0	0	0.082161	0.314056	0	0	0.743149	0	0	0.515838	0.757320	0
2:astrocytes:SRR1974647	0.201507	0	0	0	0.109154	0.756992	0	0	0.917726	0	0	0.902833	0	0.715220	0.043861	0.973302	0.486197	0	0.551398	0.408554	0.991827	0.347802	0	0.758082	0.465946	0	0.827643	0	0	0	0	0.945332	0	0.796586	0	0.781148	0	0	0	0.408100	0	0	0	0	0	0	0	0.996004	0	0
5:neurons:SRR1974645	0.116067	0.283174	0.930404	0.051867	0.051867	0.508810	0.484088	0	0	0	0	0	0	0	0.889219	0	0	0	0.643652	0	0	0	0	0	0	0	0	0	0	0.880079	0	0.973791	0	0.738465	0	0	0	0	0	0	0.510131	0	0	0	0.935249	0	0	0	0.676688	0
3:endothelial:SRR1974644	0.030662	0	0	0.766720	0	0.022055	0	0	0	0	0.211045	0	0	0	0	0	0	0.894746	0	0	0.715797	0	0	0	0	0.950152	0	0	0	0.288058	0.337368	0	0.087233	0	0.124260	0.914291	0	0	0	0.827685	0	0.260534	0	0	0.148557	0	0	0.288058	0	0.955532
5:neurons:SRR1974643	0.117594	0.621956	0.972555	0	0	0.904035	0.437386	0	0	0	0.019993	0.479235	0.914031	0	0.651218	0	0	0.868866	0.979280	0	0	0	0	0	0.743457	0	0	0.922210	0	0.096192	0.413895	0.286532	0.441340	0.739640	0.679753	0.646765	0	0	0	0	0.284351	0.099100	0	0	0.936478	0	0	0	0.987641	0
5:neurons:SRR1974642	0.210139	0	0.520934	0	0	0.316338	0.545660	0.236543	0	0	0.048796	0.803501	0	0	0	0	0	0.762071	0.126258	0	0.477681	0	0	0	0	0	0.551422	0	0	0	0	0.770605	0	0.966302	0	0	0	0	0	0	0	0	0	0	0	0.034719	0	0.530270	0.571699	0
5:neurons:SRR1974640	0.576495	0	0	0	0	0	0	0	0.443725	0	0	0	0	0	0	0	0	0	0.867033	0	0.528530	0.110718	0	0	0	0	0	0.766392	0	0.261942	0.169284	0.915194	0	0.570213	0	0.452101	0	0	0	0.429918	0.927889	0	0	0.971731	0.621254	0	0	0.367491	0.186298	0
2:astrocytes:SRR1974641	0.106535	0.093968	0	0	0	0.836234	0	0	0.588457	0.744780	0.051624	0	0.992846	0	0	0.689288	0.722351	0	0.560035	0.484919	0.999420	0.679621	0.028422	0.736079	0	0	0.908546	0	0	0	0.200503	0.559358	0	0.783063	0	0	0.190739	0	0	0	0	0.366976	0	0	0.549207	0	0	0.953210	0	0.299207
5:neurons:SRR1974639	0	0.574857	0	0	0	0.771909	0	0.507303	0.874283	0	0.550078	0	0	0.580008	0.865676	0	0	0.165558	0.996740	0	0.388237	0	0	0	0	0	0	0	0.003847	0.809990	0.899713	0	0	0.715050	0	0	0	0.010433	0	0	0.822770	0	0	0	0.979004	0	0	0.267801	0.378456	0
5:neurons:SRR1974638	0.698565	0.216832	0.306242	0	0	0.599024	0.926342	0	0.520263	0	0.829019	0	0.330572	0	0	0	0	0	0.991273	0	0.271631	0	0	0	0	0	0.547774	0.418355	0	0	0.068333	0.048735	0	0.666913	0	0.811418	0	0	0	0	0.132451	0	0.451191	0.929744	0.752108	0	0	0.374797	0.928857	0
5:neurons:SRR1974635	0.147397	0	0	0	0	0.876811	0	0	0.952238	0	0	0	0	0	0	0	0	0	0.978207	0	0	0.079995	0	0	0	0	0	0.494715	0.014159	0.840402	0.055592	0.904737	0	0.369111	0	0.824742	0	0	0	0	0	0.055592	0	0.572230	0.814172	0	0	0.450476	0.957980	0
5:neurons:SRR1974636	0.872010	0	0	0.063833	0	0.234729	0.842437	0	0.801067	0.222689	0.708306	0	0	0	0	0	0	0	0.997253	0	0	0	0	0	0.753878	0	0.036199	0.556319	0	0.136878	0	0.907886	0.093487	0.075388	0	0	0	0	0	0	0.775048	0	0.981577	0	0.824337	0	0	0.415643	0	0
